Timestamp,Accelerometer [X],Accelerometer [Y],Accelerometer [Z],Linear Accel. [X],Linear Accel. [Y],Linear Accel. [Z],Gyroscope [X],Gyroscope [Y],Gyroscope [Z],Euler [X],Euler [Y],Euler [Z],Mag [X],Mag [Y],Mag [Z]
88983,9.61,1.41,1.24,-0.01,0.03,0,-0.04,0.01,-0.01,0.56,79.06,-47.63,-15.06,17.5,10.06
89530,9.61,1.48,1.19,-0.01,0.11,-0.06,-0.03,-0.02,0,0.44,79,-47.31,-15.06,19,10.38
90070,9.59,1.22,1.46,-0.02,-0.15,0.17,0,0.01,0.01,0.12,78.87,-46.81,-15.5,17.5,10.06
90610,9.58,1.43,1.63,-0.02,0.05,0.29,0.01,0.02,0.01,359.69,78.69,-45.94,-15.5,17.87,9.06
91153,9.59,1.15,1.48,-0.02,-0.18,0.11,-0.03,0.01,0,359.31,78.69,-44.44,-15.5,18.56,10.06
91692,9.6,1.34,1.27,-0.04,0,-0.13,0.01,-0.01,0.02,359.38,78.44,-44.44,-14.75,17.87,9.69
92235,9.58,1.49,1.74,-0.02,0.16,0.33,-0.02,0.02,-0.01,358.63,78.5,-43.19,-15.19,18.56,8.69
92776,9.52,1.41,1.68,-0.07,0.06,0.22,0.01,0,-0.01,358.5,78.25,-42.81,-15.88,18.19,9.06
93318,9.53,1.64,1.63,-0.06,0.27,0.15,0.04,0,0.01,358.25,78.12,-42.81,-15.56,19,9.06
93855,9.5,1.48,1.5,-0.1,0.18,0,0,-0.01,-0.01,357.69,78.25,-40.81,-15.56,18.06,9.38
94395,9.55,1.36,1.47,-0.05,0.06,0.01,-0.01,0,0.01,357.69,78.5,-41.56,-15.19,18.06,9.06
94941,9.59,1.55,1.75,0,0.24,0.24,0.03,-0.01,-0.01,357.75,78.25,-41.06,-14.5,19.06,8.69
95483,9.63,1.22,1.54,0.02,-0.08,0.08,0.02,0.02,-0.02,357.75,78.44,-41.75,-15.06,18,8.69
96024,9.54,1.05,1.34,-0.05,-0.27,-0.14,0,-0.02,-0.01,357.88,78.19,-41.75,-15.06,18.37,9.19
96565,9.64,1.4,1.47,0.05,0.04,0,0.01,0,0,358.13,78.19,-42.75,-15.88,18.75,8.69
97105,9.5,1.19,1.32,-0.03,-0.03,-0.13,0.02,-0.02,0,357.88,78.31,-42.31,-14.75,18.37,8.38
97645,9.47,1.24,1.62,-0.13,-0.03,0.17,0.01,0,0,357.31,78.56,-41.31,-15.06,18.75,9.06
98191,9.44,0.85,1.69,-0.17,-0.36,0.24,-0.02,0.02,0,356.19,78.87,-40,-16.37,17.69,9
98729,9.56,1.38,1.93,-0.03,0.1,0.39,-0.06,0,0.01,356.31,78.12,-39.88,-16.06,18.06,8.5
99268,9.5,1.58,1.51,-0.09,0.23,0.04,0.06,0,0.03,356.75,78.19,-42.44,-15.69,18.06,8.88
99808,9.53,1.45,1.5,0,0.08,0,0.08,0.02,0.02,356.5,78.31,-42.31,-15.25,17.69,9.88
100346,9.53,1.02,1.7,-0.05,-0.22,0.1,-0.02,-0.03,-0.03,355.94,78,-37.75,-14.56,18.75,7.56
100888,9.5,1.41,1.63,-0.07,0,0.08,0.03,0,0,357.13,77.69,-42.13,-15.88,18.06,9.69
101431,9.44,1.23,1.44,-0.13,-0.15,-0.1,0.03,0,0.01,357,77.75,-41.94,-15.75,17.37,9.25
101975,9.5,1.44,1.42,-0.07,0.02,-0.11,0.03,-0.01,0.01,357.19,77.62,-42.38,-15.38,17.69,9.69
102513,9.54,1.2,1.85,-0.02,-0.16,0.25,-0.02,-0.01,-0.01,356.69,77.56,-40.5,-15.06,18.06,8.25
103057,9.53,1.42,1.58,-0.04,0.06,0.03,0.01,-0.01,0.01,356.81,77.81,-41.44,-15.38,17.69,9
103606,9.58,1.4,1.42,-0.01,0.1,-0.08,0.01,-0.01,-0.03,356.69,78.19,-40.69,-15.38,18.37,9.56
104161,9.57,1.15,1.71,-0.02,-0.16,0.19,-0.01,0.01,0.02,356.44,78.06,-40.88,-15.38,18,8.5
104701,9.54,1.49,1.52,-0.05,0.19,0,0,-0.02,-0.01,356.69,78.19,-40.63,-15.38,18,8.88
105242,9.52,1.25,1.47,-0.08,-0.04,-0.02,0.03,0.01,0.01,356.31,78.31,-40.75,-15.38,18,8.19
105782,9.53,1.45,1.62,-0.04,0.1,0.07,-0.03,-0.02,0,356.69,77.81,-41.06,-16.19,18.37,8.19
106324,9.5,1.01,1.71,-0.09,-0.25,0.19,0.01,0.03,0,356,78.37,-40.06,-15.38,18.37,9.19
106867,9.49,1.63,1.53,-0.09,0.29,-0.06,-0.01,-0.03,0.01,356.5,77.69,-40.13,-16.19,18,8.75
107411,9.53,1.16,1.72,-0.06,-0.11,0.16,-0.01,0.01,-0.02,355.94,78.06,-39.13,-15.69,17.56,8.38
107953,9.52,1.18,1.66,-0.06,-0.26,0.09,0,-0.02,0.02,356.13,77.81,-39.44,-15.75,19.06,9.5
108491,9.5,1.18,1.49,-0.08,-0.11,-0.06,0,0,0,356.13,77.94,-39.75,-15.06,18,8.06
109032,9.52,1.37,1.62,-0.04,0.04,0.05,0.01,-0.03,0.01,356.25,77.87,-40,-15.38,18.69,8.5
109574,9.52,1.23,1.6,-0.07,-0.06,0.07,0.02,0.02,0,356.06,78.12,-40.38,-15.69,18.37,8.38
110119,9.54,1.36,1.7,-0.03,0.04,0.09,-0.03,-0.05,0,356.25,77.75,-39.38,-16,19.06,8.5
110660,9.5,1.23,1.71,-0.1,-0.08,0.25,0.01,0.03,-0.01,356.31,78.31,-41.88,-15.69,17.56,9.5
111201,9.52,1.28,1.47,-0.07,-0.11,-0.27,-0.02,-0.03,0,356.56,77.94,-40.69,-15.38,18.37,9.06
111739,9.56,1.5,1.78,-0.01,0.15,0.22,0,-0.02,0.01,356.44,77.81,-41,-16.06,19.06,8.06
112281,9.52,1.23,1.58,-0.06,-0.08,0.04,0.01,0.03,0,356.06,78.06,-40.56,-15.25,18.37,7.69
112824,9.51,1.25,1.83,-0.06,-0.08,0.21,-0.01,-0.01,0.02,355.75,77.56,-39.44,-15.69,18.06,9.69
113369,9.52,0.81,1.63,-0.06,-0.47,0.03,-0.03,-0.01,-0.01,355.63,77.87,-38.69,-16.37,18.69,8.38
113910,9.33,1.72,1.64,-0.19,0.42,0.05,0.08,0,0,355.88,77.56,-40.44,-15.25,18,9
114450,9.55,1.43,1.73,-0.02,0.12,0.12,-0.03,-0.01,-0.02,355.75,77.75,-39.06,-15.75,18,9.38
114993,9.53,1.37,1.63,-0.05,0.04,0.04,0.03,0.02,0.04,355.69,77.75,-39.69,-15.25,17.25,9.38
115535,9.5,1.44,1.91,-0.07,0.24,0.21,0,-0.02,-0.03,354.88,77.69,-35.31,-15.38,18.69,8.38
116077,9.55,1.86,1.3,-0.05,0.7,-0.3,0.02,-0.02,-0.04,354.69,78.31,-35.94,-16.19,19.25,7.69
116617,9.55,1.76,1.8,-0.04,0.57,0.16,-0.01,0,-0.05,354.81,78.06,-36,-16.25,18.25,8.38
117157,9.43,1.41,1.66,-0.15,0.18,-0.04,-0.03,-0.01,-0.02,355.31,78,-38.06,-16.19,18.56,8
117698,9.57,0.75,1.8,-0.03,-0.42,0.2,-0.07,-0.01,-0.02,354.75,78.25,-36.38,-15.38,18.56,9
118240,9.46,1.32,1.87,-0.14,0.14,0.31,0.04,0.03,0.02,353.75,78.44,-36.88,-15.38,19.19,7.69
