Euler [X]	Euler [Y]	Euler [Z]
74.87	-81.87	20.75
25	-19.37	-40.81
240.88	-13.88	176.56
97.87	-69.5	-73.12
253.81	-34.5	157.44
279.94	-78.12	161.25
236.94	-61.44	59.13
74	-66.87	-155.63
26.06	-62.19	-162.13
32.75	-56.69	-168.31
91.19	-82.31	157.06
135.31	-67.31	-52.88
172.31	-79	-82.19
62.19	-79.81	25.37
24	-53.06	110.44
277.25	-60.63	165.06
182.81	-67.44	-164.25
156.13	-71.44	-128.56
271.44	-74.56	169.31
8.19	-81.5	-53.88
116	-74.81	-143.06
271.5	-69.12	-170.88
269.56	1.81	-145.19
193.81	10.5	88.56
128.31	6.88	28.94
90.94	10.13	49.44
116.5	7.81	130.63
278.38	6.19	-171.81
277.06	14.81	-173.56
279.38	25.19	-175.81
129.19	-5.81	-116
86.56	13.38	-116.44
284	-17.62	145.38
